date_utc,ticker,n_posts,n_comments,n_total,mean_compound,median_compound,score_weighted_compound
2025-05-15,JPM,0,1,1,0.981,0.981,0.981
2025-05-15,WMT,1,2,3,0.13156666666666664,0.4939,0.5132912396694215
2025-05-16,AAPL,0,1,1,0.2484,0.2484,0.2484
2025-05-16,TSLA,0,2,2,-0.12615,-0.12615,-0.002321779141104295
2025-05-17,AAPL,0,1,1,-0.5267,-0.5267,-0.5267
2025-05-17,AMZN,1,1,2,-0.37865000000000004,-0.37865000000000004,-0.9344220617355854
2025-05-17,MSFT,0,2,2,-0.2202,-0.2202,-0.4404
2025-05-17,TSLA,0,1,1,0.0,0.0,0.0
2025-05-17,WMT,2,27,29,0.11140689655172413,0.0,-0.7760258817845064
2025-05-18,AMZN,0,1,1,0.8591,0.8591,0.8591
2025-05-18,MS,0,1,1,0.1655,0.1655,0.1655
2025-05-18,PLTR,0,2,2,-0.11315,-0.11315,-0.15086666666666668
2025-05-18,SNOW,0,1,1,0.3612,0.3612,0.3612
2025-05-18,TSLA,0,3,3,0.2235,0.0,0.2235
2025-05-18,WMT,0,4,4,-0.2488,-0.36619999999999997,-0.6699579302045727
2025-05-19,AMZN,0,1,1,-0.9746,-0.9746,-0.9746000000000001
2025-05-19,MSFT,0,2,2,0.0769,0.0769,-0.28223253012048194
2025-05-19,UNH,1,3,4,0.551775,0.6324,0.9202533333333334
2025-05-19,WMT,0,7,7,-0.3553571428571428,-0.5994,-0.7096178899082568
2025-05-20,AMD,0,1,1,0.7585,0.7585,0.7585
2025-05-20,AMZN,0,1,1,0.7624,0.7624,0.7624
2025-05-20,BAC,1,0,1,-0.2006,-0.2006,-0.2006
2025-05-20,JPM,1,0,1,-0.2006,-0.2006,-0.2006
2025-05-20,MSFT,0,2,2,-0.44,-0.44,-0.6121399999999999
2025-05-20,TSLA,0,1,1,0.1531,0.1531,0.1531
2025-05-20,UNH,0,1,1,0.8126,0.8126,0.8126
2025-05-20,WMT,0,2,2,0.05664999999999998,0.05664999999999998,-0.41348
2025-05-21,AMZN,0,5,5,0.20550000000000002,0.6249,-0.5598689365465399
2025-05-21,COST,0,3,3,0.0615,0.0,0.311804347826087
2025-05-21,TSLA,0,2,2,-0.15984999999999996,-0.15984999999999996,-0.6398384105960265
2025-05-21,UNH,0,1,1,0.9467,0.9467,0.9467
2025-05-21,WMT,0,12,12,0.14138333333333333,0.05135,0.0800605459057072
2025-05-22,AMD,0,2,2,0.60615,0.60615,0.5659
2025-05-22,DIS,0,1,1,0.4854,0.4854,0.4854
2025-05-22,GME,0,1,1,0.1027,0.1027,0.1027
2025-05-22,MSFT,0,1,1,0.8868,0.8868,0.8868
2025-05-23,AAPL,0,13,13,0.002184615384615383,0.0,-0.012434229607250755
2025-05-23,AMC,0,1,1,0.9989,0.9989,0.9989000000000001
2025-05-23,GOOG,1,0,1,0.9413,0.9413,0.9413
2025-05-23,MSFT,0,3,3,0.3860666666666666,0.7717,-0.4931459833795016
2025-05-23,NFLX,0,1,1,0.9989,0.9989,0.9989000000000001
2025-05-23,NVDA,1,0,1,0.9625,0.9625,0.9625
2025-05-23,PLTR,0,1,1,0.9989,0.9989,0.9989000000000001
2025-05-23,TSLA,0,1,1,0.9989,0.9989,0.9989000000000001
2025-05-24,AAPL,0,1,1,0.0,0.0,0.0
2025-05-24,COST,0,1,1,-0.2732,-0.2732,-0.2732
2025-05-24,UNH,0,1,1,0.959,0.959,0.959
2025-05-24,WMT,0,2,2,0.0,0.0,0.0
2025-05-25,GME,0,2,2,0.0,0.0,0.0
2025-05-25,PLTR,0,2,2,0.89715,0.89715,0.9463799999999999
2025-05-25,SOFI,0,1,1,-0.3919,-0.3919,-0.3919
2025-05-25,TSLA,0,1,1,0.9393,0.9393,0.9393
2025-05-25,UBER,0,1,1,0.0,0.0,0.0
2025-05-26,AAPL,0,1,1,0.25,0.25,0.25
2025-05-26,MSFT,0,2,2,0.3787,0.3787,0.5049333333333333
2025-05-26,TSLA,0,2,2,0.5763,0.5763,0.45815
2025-05-27,AAPL,0,1,1,-0.9217,-0.9217,-0.9217
2025-05-27,AMZN,0,1,1,-0.9217,-0.9217,-0.9217
2025-05-27,META,0,1,1,-0.9217,-0.9217,-0.9217
2025-05-27,NVDA,0,1,1,-0.9217,-0.9217,-0.9217
2025-05-27,TSLA,0,2,2,0.10115,0.10115,0.10115
2025-05-28,AMZN,0,1,1,0.5093,0.5093,0.5093
2025-05-28,GME,1,6,7,0.06851428571428574,0.0,-0.4431235924932976
2025-05-28,NVDA,0,2,2,0.37505,0.37505,0.60008
2025-05-28,TSLA,0,34,34,0.1713264705882353,0.12505,0.27135600457491427
2025-05-29,GME,0,1,1,0.0,0.0,0.0
2025-05-29,GOOG,0,1,1,0.0,0.0,0.0
2025-05-29,MSFT,0,1,1,0.7731,0.7731,0.7731
2025-05-29,TSLA,0,1,1,-0.1577,-0.1577,-0.1577
2025-05-30,GME,0,1,1,-0.7506,-0.7506,-0.7506
2025-05-30,MSFT,1,0,1,0.8519,0.8519,0.8518999999999999
2025-05-30,PLTR,1,10,11,0.019009090909090906,0.0,0.8339061306042884
2025-05-30,TSLA,0,1,1,0.0772,0.0772,0.0772
2025-05-31,AMZN,0,2,2,-0.19699999999999998,-0.19699999999999998,-0.2505571428571428
2025-05-31,COST,1,4,5,0.3336,0.0,0.8475336767104473
